ReactionKey,Name,PathwayKey,FormulaKey,GeneAssociation,Flux_Baseline,Flux_Stress75,DeltaFlux,AbsDeltaFlux,DeltaAbsFlux,FVA_Baseline_Min,FVA_Baseline_Max,FVA_Stress75_Min,FVA_Stress75_Max,Required_Baseline,Required_Stress75,ResponseClass,Evidence,NodeSize
GALUi,"UTP-glucose-1-phosphate uridylyltransferase (irreversible)","Galactose metabolism",g1p_c + h_c + utp_c  <=> ppi_c + udpg_c,Ugp2_AT2 or Ugp2_AT1,0,0,0,0,0,-1000,1000,-1000,999.697720016167,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
GALt1r,"Galactose transport (uniport)","Transport, Extracellular",gal_e  <=> gal_c,Slc2a1_1_e or Slc2a3_1_e,0.3169,0.3169,0,0,0,0.302221961666607,0.3169,0.302279983833328,0.3169,1,1,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NT5C,"5'-nucleotidase","NAD Metabolism",h2o_c + nicrnt_c  -> pi_c + nicrns_c,Nt5C2_AT1,0,0,0,0,0,0,0.0293560766667819,0,0.0292400323333926,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
Ht,"Proton diffusion","Transport, Extracellular",h_e  <=> h_c,,-4.87113293333346,-4.3479328446668,0.523200088666652,0.523200088666652,-0.523200088666652,-7.15280460999988,-4.16786470333322,-6.56472880400031,-4.1450127476666,1,1,Decreased,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,16
GAMt1r,"Glucosamine transport (uniport)","Transport, Extracellular",gam_e  <=> gam_c,Slc2a4_1_e or Slc2a1_1_e,1e-05,1e-05,0,0,0,0,1e-05,0,1e-05,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
ICDHyr,"Isocitrate dehydrogenase (NADP)","Citric Acid Cycle",icit_c + nadp_c  -> akg_c + co2_c + nadph_c,Idh1_AT1,-0,-0,0,0,0,0,0,0,0,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NTD11,"5'-nucleotidase (IMP)","Purine Catabolism",h2o_c + imp_c  -> pi_c + ins_c,Nt5C2_AT1,3.23499936085094e-16,1.07419494964583e-31,-3.23499936085094e-16,3.23499936085094e-16,-3.23499936085094e-16,0,0.0266780383334272,0,0.0266200161667085,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
IMPD,"IMP dehydrogenase","Nucleotides",h2o_c + imp_c + nad_c  -> h_c + nadh_c + xmp_c,ImpDH1_AT1 or ImpDH2_AT1 or ImpDH1_AT2,0,0,0,0,0,0,0.0097853588888183,0,0.0092336944210366,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
GAPD,"Glyceraldehyde-3-phosphate dehydrogenase","Glycolysis/Gluconeogenesis",g3p_c + pi_c + nad_c  <=> 13dpg_c + h_c + nadh_c,Gapdh_AT1,2.92556146666673,2.9139614223334,-0.0116000443333255,0.0116000443333255,-0.0116000443333255,2.89620539,2.92556146666673,2.88472139000007,2.91467459385372,1,1,Decreased,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,4.26605601760247
NTD2,"5'-nucleotidase (UMP)","Pyrimidine Catabolism",h2o_c + ump_c  -> pi_c + uri_c,Nt5C3_AT1,-2.76360669670705e-17,0,2.76360669670705e-17,2.76360669670705e-17,-2.76360669670705e-17,0,0.00629058785718125,5.66768854071145e-14,0.00626572121430759,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NMNHYD,"Nicotinamide ribonucleotide phosphohydrolase","NAD Metabolism",h2o_c + nmn_c  -> pi_c + rnam_c,Nt5C_AT1,1.97215226305253e-31,0,-1.97215226305253e-31,1.97215226305253e-31,-1.97215226305253e-31,0,0.029356076666715,0,0.0292400323333925,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
GGLUCT,"Gamma-glutamylcyclotransferase","Glutathione Metabolism",gluala_e  -> 5oxpro_c + ala__L_c,Gctg_AT1,0,0,0,0,0,0,0.00838745047620199,0,0.00855805824391979,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
